yr,aflow,mflow,jflow,peak,apesst,maesst,jnesst,appsst,mapsst,jnpsst,jlpsst,pdo,stn2js,stn2ja,Pink,Chum,Sockeye,Salmon_Total,Shu_fry_wt,Shu_fry_len,Que_fry_wt,Que_fry_len,GOA.SST.Sum,GOA.SST.Win,GOA.SST.Ann,NPGO.Sum,NPGO.Win,NPGO.Ann,GOA.Chl.Sum,GOA.Chl.Sum.lag1
1948,0.952266667,4.161935484,8.881,12.5,7.79,10.61,14.5,6.74,7.28,8.62,9.71,-1.56,30.69666667,30.5075,101,70,41,212,NA,NA,NA,NA,10.09725664,6.523440078,7.872240062,-0.624160913,-1.81711325,-0.766430557,NA,NA
1949,1.654166667,6.040967742,6.017333333,8.04,9.12,12.37,14.51,7.24,8.16,8.95,9.77,-1.544,31.44666667,31.385,252,76,33,361,NA,NA,NA,NA,11.67500018,5.383774191,8.558037943,-1.238006067,-0.461907613,-0.961180174,NA,NA
1950,1.6975,5.668709677,6.793,8.33,8.41,11.38,13.46,7.11,8.03,8.61,9.25,-1.012,31.325,31.2775,198,53,44,295,NA,NA,NA,NA,11.06928093,5.995472293,8.447738236,-1.068577,-1.2169328,-0.6394242,NA,NA
1951,0.920033333,4.958387097,6.018333333,7.22,9.12,12.19,14.36,7.59,8.48,9.14,9.89,-0.496,30.94,30.9425,337,52,38,426,NA,NA,NA,NA,11.28069204,5.734713653,8.271285807,0.9054612,0.84566811,1.082280947,NA,NA
1952,0.7964,4.098129032,7.599,9.06,8.38,12.31,13.2,7.5,8.31,8.79,9.23,-0.682,30.445,30.4425,180,72,42,294,NA,NA,NA,NA,11.00819602,5.742535984,8.514871691,0.003879935,1.2231421,0.20706549,NA,NA
1953,1.2777,3.520967742,7.954,11.3,8.55,10.63,13.01,7.16,7.87,8.67,9.32,-0.472,30.97833333,31.015,294,77,36,408,NA,NA,NA,NA,10.19065675,5.985071355,7.981834193,0.056870008,0.160352437,-0.074898058,NA,NA
1954,1.6985,5.796129032,7.742,9.68,9.23,13.1,12.86,6.82,7.89,8.52,9.33,-2.722,30.88833333,30.76,261,84,53,397,NA,NA,NA,NA,10.61950104,5.759611465,7.994248687,0.491580273,-0.17856907,0.069951982,NA,NA
1955,1.513166667,8.17,6.817,10.4,8.95,13.08,15.76,7.2,8.5,9.03,9.65,-1.172,30.62,30.685,362,65,50,477,NA,NA,NA,NA,11.90084529,6.260087098,9.292229147,-0.943163293,-1.33251185,-1.147306954,NA,NA
1956,2.454666667,6.390322581,7.434333333,9.77,9.74,14.17,17.59,8.79,9.41,10.26,10.45,0.05,30.85166667,31.0075,187,71,50,308,NA,NA,NA,NA,11.6252242,6.775696363,8.771643491,-0.740629097,-0.151136017,-0.547807002,NA,NA
1957,1.557633333,4.829677419,7.456666667,8.47,9.29,12.52,14.83,8.04,8.72,9.63,10.02,-0.002,30.86833333,30.98,240,65,45,350,NA,NA,NA,NA,10.88834535,6.130397621,8.531592391,-0.424687157,-0.29102917,-0.203461008,NA,NA
1958,2.528666667,4.393870968,6.975333333,9.34,9.14,11.41,14.43,7.85,9.02,9.23,9.79,0.356,30.87333333,30.9975,125,67,71,263,NA,NA,NA,NA,10.57685167,6.11308631,8.136642538,0.486747137,0.752581117,0.747739953,NA,NA
1959,2.112333333,5.250645161,7.788,9.51,8.96,12.33,15.97,8.29,9.08,10,10.29,0.328,30.985,30.9425,182,56,57,295,NA,NA,NA,NA,11.27214642,5.752736466,8.500451479,1.113063267,1.1995759,0.970684513,NA,NA
1960,2.3756,4.150967742,6.968333333,8.21,9.02,11.71,14.82,7.62,8.47,9.13,10,-1.68,31.10333333,31.1425,163,60,43,265,NA,NA,NA,NA,11.43634453,6.45201319,8.701554087,-0.245723319,0.140785213,-0.093424126,NA,NA
1961,2.132666667,4.419677419,6.665,7.7,9.37,13.22,15.54,8.35,9.4,9.71,10.1,-0.472,31.085,31.055,224,57,37,318,NA,NA,NA,NA,11.77935554,6.446486457,8.889846136,-0.405845533,-0.209223423,-0.234721502,NA,NA
1962,1.494266667,3.989032258,10.21866667,11.6,8.74,11.81,14.36,7.9,8.22,9.45,9.91,-0.846,30.21333333,30.025,146,62,37,246,NA,NA,NA,NA,10.75738623,6.084902338,8.262386445,1.089984583,0.635469503,0.544102425,NA,NA
