retyr,popID,Stock,fc,age4fc,age5fc,age4,age5,tot,age4diff,age4perc,age5diff,age5perc,totdiff,totperc,cyc
2009,1,Early Stuart,255000,252450,2550,76119.3025574034,5077.1977034196,81196.500260823,-176330.6974425966,-0.698477708229735,2527.1977034195997,0.991057922909647,-173803.499739177,-0.6815823519183412,1
2010,1,Early Stuart,41000,34999.99999999999,6000.000000000007,96107.1782639958,7851.54864404182,103958.726908038,61107.178263995804,1.745919378971309,1851.5486440418126,0.3085914406736351,62958.72690803801,1.5355787050740977,2
2011,1,Early Stuart,47000,22090,24910,12528.3073475346,12590.1325201244,25118.439867659,-9561.6926524654,-0.43285163659870535,-12319.8674798756,-0.49457516980632676,-21881.560132341,-0.4655651091987447,3
2012,1,Early Stuart,99000,97020,1980,183795.605387885,146.713879429173,183942.319267314,86775.605387885,0.8944094556574418,-1833.286120570827,-0.9259020810963773,84942.31926731399,0.8580032249223635,0
2013,1,Early Stuart,211000,194120,16880,172827.02170596,9161.3220663547,181988.343772315,-21292.97829403999,-0.1096897707296517,-7718.6779336453,-0.4572676500974704,-29011.656227684987,-0.13749600107907578,1
2014,1,Early Stuart,299000,263120,35880,109757.824274812,18102.6124995148,127860.436774326,-153362.175725188,-0.5828601996244602,-17777.3875004852,-0.4954678790547715,-171139.563225674,-0.5723731211561004,2
2015,1,Early Stuart,30000,1500,28500,2258.26304774378,26470.228427303,28728.4914750468,758.2630477437801,0.5055086984958534,-2029.7715726969982,-0.07122005518235082,-1271.5085249531985,-0.04238361749843995,3
2016,1,Early Stuart,36000,36000,0,17601.1790757114,235.070343321105,17836.2494190325,-18398.8209242886,-0.5110783590080167,235.070343321105,Inf,-18163.7505809675,-0.5045486272490972,0
2017,1,Early Stuart,99000,95040,3960,20167.762697408,2129.39470307664,22297.1574004846,-74872.237302592,-0.7877971096653198,-1830.6052969233601,-0.4622740648796364,-76702.8425995154,-0.7747761878738929,1
2018,1,Early Stuart,84000,66360,17640,89230.7821668785,5449.90358969178,94680.6857565703,22870.782166878504,0.34464710920552294,-12190.096410308219,-0.6910485493372006,10680.685756570296,0.12715102091155114,2
2019,1,Early Stuart,41000,26240,14760,3416.74155811528,22500.0196923614,25916.7612504767,-22823.25844188472,-0.8697888125718262,7740.0196923613985,0.5243915780732655,-15083.238749523302,-0.3678838719395927,3
2020,1,Early Stuart,13000,12610,390,14571.4285714286,1428.57142857143,16000,1961.4285714285998,0.1555454854423949,1038.57142857143,2.663003663003667,3000,0.23076923076923078,0
2009,2,Late Stuart,553000,447930,105070,104603.649767006,19016.7479409075,123620.397707913,-343326.350232994,-0.766473221782408,-86053.2520590925,-0.8190087756647235,-429379.602292087,-0.7764549770200488,1
2010,2,Late Stuart,60000,49000,11000,168307.727065911,14891.8977473618,183199.624813272,119307.72706591099,2.434851572773694,3891.8977473617997,0.35380888612379996,123199.624813272,2.0533270802212003,2
2011,2,Late Stuart,82000,59860,22140,5172.70347075287,5287.7529504789,10460.4564212318,-54687.29652924713,-0.9135866443242086,-16852.247049521102,-0.7611674367444039,-71539.5435787682,-0.8724334582776611,3
2012,2,Late Stuart,338000,321100,16900,183527.177367285,8547.089342172,192074.266709457,-137572.822632715,-0.42844230031988473,-8352.910657828,-0.4942550685105326,-145925.733290543,-0.43173293872941715,0
2013,2,Late Stuart,333000,273060,59940,218405.48317635,6718.79450795999,225124.27768431,-54654.51682364999,-0.2001557050598769,-53221.20549204001,-0.8879079995335337,-107875.72231569001,-0.32395111806513516,1
2014,2,Late Stuart,329000,269780,59220,284997.012798986,28779.6805947904,313776.693393776,15217.01279898599,0.05640526650969675,-30440.3194052096,-0.5140209288282608,-15223.306606223981,-0.04627144865113672,2
2015,2,Late Stuart,54000,25920,28080,3687.78769658197,34954.1860609397,38641.9737575217,-22232.21230341803,-0.8577242401010042,6874.186060939697,0.24480719590241087,-15358.0262424783,-0.2844078933792278,3
2016,2,Late Stuart,15000,1050,13950,31715.3009160214,249.160219936823,31964.4611359583,30665.3009160214,29.205048491448952,-13700.839780063177,-0.9821390523342779,16964.4611359583,1.1309640757305532,0
2017,2,Late Stuart,192000,182400,9600,216144.189029465,1953.54140976285,218097.730439228,33744.18902946499,0.18500103634575105,-7646.45859023715,-0.7965061031497032,26097.730439228006,0.13592567937097919,1
2018,2,Late Stuart,149000,135590,13410,306928.859721978,21637.9601663588,328566.819888336,171338.85972197802,1.263654102234516,8227.9601663588,0.6135689907799254,179566.819888336,1.2051464422035973,2
2019,2,Late Stuart,39000,30030,8970,8664.50103447093,15903.0317782282,24567.5328126992,-21365.49896552907,-0.7114718270239451,6933.0317782282,0.7729132417199777,-14432.467187300801,-0.37006326121284105,3
2020,2,Late Stuart,35000,34300,700,29391.5662650602,4608.43373493976,34000,-4908.433734939801,-0.14310302434226826,3908.43373493976,5.583476764199657,-1000,-0.02857142857142857,0
2009,3,Stellako,374000,269280,104720,6640.01546374649,32646.7426967536,39286.7581605001,-262639.9845362535,-0.9753415943859681,-72073.2573032464,-0.6882473004511688,-334713.2418394999,-0.8949551920842244,1
2010,3,Stellako,156000,154000,2000,389228.983975898,4858.61422438707,394087.598200285,235228.983975898,1.5274609349084287,2858.61422438707,1.429307112193535,238087.598200285,1.5262025525659295,2
2011,3,Stellako,350000,157500,192500,113525.252922517,81630.0628157146,195155.315738232,-43974.747077483,-0.2792047433490984,-110869.9371842854,-0.5759477256326514,-154844.684261768,-0.44241338360505145,3
2012,3,Stellako,453000,403170,49830,259916.69347756,24716.0045944919,284632.698072052,-143253.30652244,-0.3553173761005035,-25113.9954055081,-0.5039934859624343,-168367.30192794802,-0.37167174818531573,0
2013,3,Stellako,192000,90240,101760,152682.189891972,14563.5319589265,167245.721850898,62442.189891972,0.6919568915333776,-87196.4680410735,-0.8568835302778449,-24754.278149102,-0.12892853202657292,1
2014,3,Stellako,690000,648600,41400,1500993.88974338,49483.3150464851,1550477.20478987,852393.88974338,1.3142058121236202,8083.315046485099,0.19524915571220045,860477.20478987,1.247068412738942,2
2015,3,Stellako,390000,187200,202800,42804.0430744099,128893.073527437,171697.116601846,-144395.95692559012,-0.7713459237478104,-73906.926472563,-0.3644325762946894,-218302.883398154,-0.5597509830721897,3
2016,3,Stellako,256000,235520,20480,42514.9917214748,12081.5983668939,54596.5900883688,-193005.0082785252,-0.8194845799869447,-8398.4016331061,-0.41007820474150875,-201403.4099116312,-0.7867320699673094,0
2017,3,Stellako,355000,209450,145550,109354.034650064,6855.02903776524,116209.06368783,-100095.965349936,-0.47789909453299595,-138694.97096223477,-0.9529025830452407,-238790.93631217,-0.6726505248230141,1
2018,3,Stellako,559000,475150,83850,361248.342149912,37908.7766453612,399157.118795273,-113901.65785008803,-0.2397172637063833,-45941.2233546388,-0.547897714426223,-159842.881204727,-0.28594433131435953,2
2019,3,Stellako,368000,195040,172960,53124.2945690027,31468.154645163,84592.4492141657,-141915.7054309973,-0.7276235922426031,-141491.84535483702,-0.818061085539067,-283407.5507858343,-0.7701292140919411,3
2020,3,Stellako,93000,92070,930,15391.3043478261,4608.69565217391,20000,-76678.6956521739,-0.8328304078654709,3678.6956521739103,3.9555867227676456,-73000,-0.7849462365591398,0
2009,4,Bowron,10000,8900,1100,1876.29236500021,3082.48031392892,4958.77267892913,-7023.70763499979,-0.7891806331460438,1982.4803139289202,1.8022548308444728,-5041.22732107087,-0.504122732107087,1
2010,4,Bowron,1300,1100,200,14799.571964573,382.747550807921,15182.3195153809,13699.571964573,12.454156331430001,182.74755080792102,0.9137377540396051,13882.3195153809,10.678707319523769,2
2011,4,Bowron,12000,9960,2040,8344.50907666321,2635.10812947259,10979.6172061358,-1615.4909233367907,-0.1621978838691557,595.10812947259,0.29171967131009313,-1020.3827938642007,-0.0850318994886834,3
2012,4,Bowron,2000,1000,1000,234.370175276297,19.5308479396914,253.901023215988,-765.629824723703,-0.765629824723703,-980.4691520603086,-0.9804691520603086,-1746.098976784012,-0.873049488392006,0
2013,4,Bowron,7000,6020,980,4971.06095538416,548.278781843841,5519.339737228,-1048.9390446158404,-0.17424236621525588,-431.721218156159,-0.4405318552613868,-1480.6602627720004,-0.21152289468171434,1
2014,4,Bowron,30000,27900,2100,21678.0068673488,1140.94772986046,22818.9545972093,-6221.993132651201,-0.22301050654663804,-959.05227013954,-0.45669155720930477,-7181.0454027907,-0.23936818009302332,2
2015,4,Bowron,21000,13650,7350,5187.21094376414,3038.22355277614,8225.43449654028,-8462.789056235859,-0.6199845462443853,-4311.77644722386,-0.5866362513229741,-12774.56550345972,-0.6083126430218915,3
2016,4,Bowron,4000,200,3800,186.462741199643,93.2313705998213,279.694111799464,-13.537258800356994,-0.06768629400178497,-3706.7686294001787,-0.9754654287895207,-3720.305888200536,-0.930076472050134,0
2017,4,Bowron,7000,7000,0,367.068582603639,0,367.068582603639,-6632.931417396361,-0.947561631056623,0,NA,-6632.931417396361,-0.947561631056623,1
2018,4,Bowron,20000,17000,3000,19393.8238530412,167.188136664149,19561.0119897054,2393.823853041202,0.14081316782595305,-2832.811863335851,-0.9442706211119503,-438.9880102946008,-0.02194940051473004,2
2019,4,Bowron,15000,9150,5850,17.5971970083781,53.6049902104144,71.2021872187925,-9132.402802991623,-0.9980768090701226,-5796.395009789586,-0.9908367538101857,-14928.797812781208,-0.9952531875187471,3
2020,4,Bowron,2000,360,1640,1719.35483870968,66.1290322580645,1785.48387096774,1359.35483870968,3.7759856630824444,-1573.8709677419356,-0.9596774193548387,-214.5161290322601,-0.10725806451613004,0
2009,5,Raft,78000,66300,11700,6441.34103648752,8848.71091881113,15290.0519552986,-59858.658963512484,-0.9028455348946076,-2851.28908118887,-0.2436999214691342,-62709.9480447014,-0.8039736928807871,1
2010,5,Raft,24000,21000,3000,7182.52028597075,2454.02776437334,9636.54805034409,-13817.47971402925,-0.6579752244775834,-545.9722356266602,-0.18199074520888675,-14363.45194965591,-0.5984771645689962,2
2011,5,Raft,44000,29040,14960,6253.47638761097,9646.31995961267,15899.7963472236,-22786.523612389028,-0.7846599040078867,-5313.680040387329,-0.35519251606867175,-28100.2036527764,-0.6386409921085545,3
2012,5,Raft,55000,19250,35750,14907.8830440947,4462.22349619162,19370.1065402863,-4342.1169559053,-0.22556451718988568,-31287.77650380838,-0.8751825595470876,-35629.8934597137,-0.6478162447220672,0
2013,5,Raft,51000,36210,14790,20119.7222876232,3667.65770868132,23787.3799963046,-16090.2777123768,-0.4443600583368351,-11122.34229131868,-0.7520177343690791,-27212.6200036954,-0.5335807843861843,1
2014,5,Raft,39000,17160,21840,37692.0634093908,14988.6567943776,52680.7202037685,20532.0634093908,1.1965071916894405,-6851.343205622399,-0.3137061907336263,13680.720203768498,0.3507876975325256,2
2015,5,Raft,36000,25920,10080,17922.0737835192,5842.00195153389,23764.0757350531,-7997.926216480799,-0.30856196822842585,-4237.99804846611,-0.4204363143319554,-12235.924264946902,-0.33988678513741394,3
2016,5,Raft,26000,10920,15080,16750.9073765526,5338.2012518684,22089.108628421,5830.907376552601,0.5339658769736814,-9741.798748131601,-0.6460078745445359,-3910.8913715790004,-0.15041889890688462,0
2017,5,Raft,33000,29040,3960,2784.84196203279,4282.06882334074,7066.91078537352,-26255.15803796721,-0.9041032382220113,322.06882334074,0.08133051094463131,-25933.08921462648,-0.7858511883220146,1
