pop,fc50,obs,p10,p25,p50,p75,p90,model,justification
Chilko,1463000,1542880,582875.8934,940783.2702,1601388,2725860.044,4399639.024,R1C,Best SD
Chilko,1463000,1542880,941370,1452778,2441033,4237494,6886280,RickerCyc,"Best R,RMSE"
Chilko,1463000,1542880,814936,1260181,1957677,3237364,4963599,LarkinCyc,Best Rank
Quesnel,1907000,1782885,897362,1745530,3310350,6763258,12319752,Larkin,Best R
Quesnel,1907000,1782885,437082,793447,1683314,3780357,7199262,RickerSockeye,Best SD
Quesnel,1907000,1782885,562602,1032691,2161832,4216254,8269355,PowerPink,"Best RMSE, Rank"
Late Shuswap,3418000,1481758,440197.8273,928688.3856,2128650.337,4879087.892,10293445.3,RS1,3rd SD
Late Shuswap,3418000,1481758,377386,754392,1751347,4185452,8700240,RickerPi.SST,"Best R,SD,RMSE"
Late Shuswap,3418000,1481758,304196,621754,1480980,3131667,6777941,RickerGOA.SST,"Best Rank,2nd R,SD,RMSE"
Chilko,1463000,1542880,482000,806000,1463000,2662000,4732000,Forecast,
Quesnel,1907000,1782885,485000,917000,1907000,4178000,8531000,Forecast,
Late Shuswap,3418000,1481758,645000,1473000,3418000,7582000,17166000,Forecast,
