Bio.Model,Model.ID,Pop,p.alpha,p.beta,tau_alpha,tau_beta,p.g,tau_g,p.beta0,tau_beta0,p.beta1,tau_beta1,p.beta2,tau_beta2,p.beta3,tau_beta3,a1,b1,a2,b2,a3,b3
Larkin,LarkinBasic,all,0,NA,0.001,NA,NA,NA,0,0.001,0,0.001,0,0.001,0,0.001,NA,NA,NA,NA,NA,NA
Larkin,LarkinBasicCycAge,all,0,NA,0.001,NA,NA,NA,0,0.001,0,0.001,0,0.001,0,0.001,NA,NA,NA,NA,NA,NA
Power,PowerBasic,all,0,0,0.0001,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Power,PowerBasicCycAge,all,0,0,0.0001,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Power,PowerPinkCycAge,all,0,0,0.0001,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Power.juv,PowerJuv,all,0,0,0.0001,0.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerJuvFRDmean,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerJuvFRDpeak,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerJuvPi,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerJuvEi,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerPiPinkCycAge,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerEiPinkCycAge,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PowerCov,PowerFrDPkPinkCycAge,all,0,0,0.00001,0.0001,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricker,RickerBasic,all,0,1,0.0001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricker,RickerBasicEven,all,0,1,0.0001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricker,RickerBasicOdd,all,0,1,0.0001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ricker,RickerBasicCycAge,all,0,1,0.0001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RickerCov,RickerFrDMn,all,0,1,0.00001,0.1,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RickerCov,RickerEi,all,0,1,0.00001,0.1,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RickerCov,RickerPi,all,0,1,0.00001,0.1,0,0.00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RickerCycle,RickerCyc,all,0,1,0.0001,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
