WORKS,CHECKED,DONE,Do,Model.ID,Model.Label,Bio.Model,Rec.Variable,Spn.Variable,CoVariate,CoVariate.Window,CoVariate.AvgLastYear,Stocks.ID,Stocks.Prefix,br.yr,fc.yr,zero.replace,sr.data.cutoff,jack.yrs.skip,age.prop.yrs,age.prop.yrs.sub,age.prop.sample,age.prop.sample.seed,Cyclic,Nodes.Monitored,Run,bootstrap.sigma,mcmc.package,mcmc.seed,n.chains,n.burnin,n.thin,n.samples,output.type, Comment
YES,YES,YES,FALSE,RickerGOA.SST.Sum,RickerGOA.SST.Sum,RickerCov,rec,eff,"c(""GOA.SST.Sum"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerGOA.SST.Win,RickerGOA.SST.Win,RickerCov,rec,eff,"c(""GOA.SST.Win"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerGOA.SST.Ann,RickerGOA.SST.Ann,RickerCov,rec,eff,"c(""GOA.SST.Ann"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerNPGO.Sum,RickerNPGO.Sum,RickerCov,rec,eff,"c(""NPGO.Sum"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,80000,60,110000,full,
YES,YES,YES,FALSE,RickerNPGO.Win,RickerNPGO.Win,RickerCov,rec,eff,"c(""NPGO.Win"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,40000,60,70000,full,
YES,YES,YES,FALSE,RickerNPGO.Ann,RickerNPGO.Ann,RickerCov,rec,eff,"c(""NPGO.Ann"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,60000,60,90000,full,
YES,YES,YES,FALSE,RickerPink,RickerPink,RickerCov,rec,eff,"c(""Pink"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerChum,RickerChum,RickerCov,rec,eff,"c(""Chum"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerSockeye,RickerSockeye,RickerCov,rec,eff,"c(""Sockeye"")","""sr""","""br.yr""",c(9),Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
YES,YES,YES,FALSE,RickerSalmon_Total,RickerSalmon_Total,RickerCov,rec,eff,"c(""Salmon_Total"")","""sr""","""br.yr""","c(1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,18)",Pop,2017,NA,0,0,9,36,NULL,TRUE,NULL,FALSE,RecPar,"""c(\""retro\"")""",NA,r2OpenBUGS,default,2,20000,60,50000,full,
