"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Early Stuart",0.03553450890892,-0.00901508909660495,0.204101890886038,0.0532574906206173,2,5,3,1,2.75,1,0.0476190476190476,0.119047619047619,0.0714285714285714,0.0238095238095238
"Early Stuart",0.0351868197928583,-0.0109393951453924,0.206020573834698,0.0551012150053467,1,6,4,2,3.25,2,0.0238095238095238,0.142857142857143,0.0952380952380952,0.0476190476190476
"Early Stuart",0.037648191421689,-0.00601473762904697,0.325670800610959,0.0559206097114174,3,4,7,3,4.25,3,0.0714285714285714,0.0952380952380952,0.166666666666667,0.0714285714285714
"Early Stuart",0.0403962361145936,-0.0124702914182425,0.123506797390057,0.0605784031540741,6,8,2,6,5.5,4,0.142857142857143,0.19047619047619,0.0476190476190476,0.142857142857143
"Early Stuart",0.0395152201578048,-0.00349548197510834,0.338448723117014,0.0632521254136796,5,3,8,8,6,5,0.119047619047619,0.0714285714285714,0.19047619047619,0.19047619047619
"Early Stuart",0.0432799255258006,-0.0111064606209147,0.27048773864013,0.0570774949733046,8,7,6,4,6.25,6,0.19047619047619,0.166666666666667,0.142857142857143,0.0952380952380952
"Early Stuart",0.0430892549396043,-0.0194820422594758,0.0429836012979189,0.0668861915493319,7,14,1,10,8,7,0.166666666666667,0.333333333333333,0.0238095238095238,0.238095238095238
"Early Stuart",0.0475433230507623,-0.0172717009055768,0.264624051749506,0.0605219372577601,11,12,5,5,8.25,8,0.261904761904762,0.285714285714286,0.119047619047619,0.119047619047619
"Early Stuart",0.0481577837242056,-0.00189579249022767,0.401594468617567,0.0726274234775346,13,2,9,14,9.5,9,0.30952380952381,0.0476190476190476,0.214285714285714,0.333333333333333
"Early Stuart",0.043939737842309,0.013186966441728,0.561846609639968,0.064188436247388,9,9,12,9,9.75,10,0.214285714285714,0.214285714285714,0.285714285714286,0.214285714285714
"Early Stuart",0.0524401389195312,0.00149790732065951,0.689889650432757,0.0690136916993195,15,1,15,12,10.75,11,0.357142857142857,0.0238095238095238,0.357142857142857,0.285714285714286
"Early Stuart",0.0392178161909648,-0.0355387373866898,-0.416891693129771,0.067662586207219,4,18,10,11,10.75,12,0.0952380952380952,0.428571428571429,0.238095238095238,0.261904761904762
"Early Stuart",0.044644029872647,0.0233082967256413,0.629575968862888,0.0625059119244361,10,15,14,7,11.5,13,0.238095238095238,0.357142857142857,0.333333333333333,0.166666666666667
"Early Stuart",0.0476799820901087,0.0141467604903756,0.494140499136904,0.0734335736612604,12,11,11,15,12.25,14,0.285714285714286,0.261904761904762,0.261904761904762,0.357142857142857
"Early Stuart",0.0489742953700148,0.0270881171001219,0.60533570044737,0.0735880851144764,14,16,13,16,14.75,15,0.333333333333333,0.380952380952381,0.30952380952381,0.380952380952381
